core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,r2,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,avac,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,tskin,MO_optimal_550,MO_optimal_830,FDM_depth_to_550_era055_new_fit,FDM_depth_to_830_era055_new_fit,Fit_R2_era055_new_fit,Fit_model_era055_new_fit
NEEM07S3,77.45,-51.06,2460.0,2007,15.81,73.42,SUMUP 2024,Steen-Larsen et al. (2011),greenland,0.99,43942,77.4159,-51.0931,403,142,16.43,72.86,0.994,Power law,0.0,5.529893314815126e-06,10.28,53.39,0.988,Logarithmic,14.475863456726074,70.18266296386719,245.2727813720703,0.6502213788741302,0.7271860528466357,45.19,,0.99,Logarithmic
T1-1,70.0,-48.060967,1710.0,2007,0.35,,PKM standardized cores,,Greenland,1.0,19107,69.9836,-48.0657,254,129,2.96,57.59,0.912,Power law,0.0,1.4160896171233617e-05,2.07,28.2,0.902,Logarithmic,2.0100293159484863,53.91367721557617,255.88719177246094,5.914285714285715,,7.04,74.7,0.913,Logarithmic
T2-1,70.0,-47.880203,1750.0,2007,2.93,,PKM standardized cores,,Greenland,1.0,19108,69.9923,-47.9218,254,130,3.46,59.84,0.947,Power law,0.0,1.4075366379984189e-05,2.47,30.31,0.912,Logarithmic,6.106668949127197,54.86427307128906,255.52369689941406,0.8430034129692833,,8.66,78.21,0.925,Logarithmic
T3-1,70.0,-47.670183,1819.0,2007,0.415,,PKM standardized cores,,Greenland,1.0,19110,70.0092,-47.6338,254,132,5.54,63.76,0.969,Power law,0.0,1.3428482816379985e-05,3.54,34.51,0.944,Logarithmic,6.790594577789307,59.07957077026367,254.90408325195312,8.530120481927712,,13.61,83.94,0.944,Logarithmic
T4-1,69.819983,-47.4505,1877.0,2007,0.5,,PKM standardized cores,"Harper, J., Humphrey, N., Pfeffer, W. T., Brown, J., & Fettweis, X. (2012). Greenland ice-sheet contribution to sea-level rise buffered by meltwater storage in firn. Nature, 491(7423), 240–243. https://doi.org/10.1038/nature11566",Greenland,1.0,18577,69.8696,-47.4177,251,133,6.27,65.22,0.974,Power law,0.0,1.5073697795742191e-05,3.93,35.28,0.95,Logarithmic,7.240584850311279,60.56176376342773,254.70559692382812,7.86,,15.05,84.76,0.95,Logarithmic
2009S2_Keegan,77.45,-51.06,2460.0,2009,16.17,74.61,SUMUP 2024,Baker et al. (2009),greenland,0.97,43942,77.4159,-51.0931,403,142,16.11,72.68,0.994,Power law,0.0,5.529893314815126e-06,9.99,53.17,0.988,Logarithmic,14.26961612701416,69.88278198242188,245.2727813720703,0.6178107606679035,0.7126390564267525,44.92,,0.991,Logarithmic
ACT10A,65.697,-41.481,,2010,6.16,,SUMUP 2024,Miège et al. (2013),greenland,0.86,6218,65.6954,-41.4877,163,168,6.69,86.87,0.984,Logarithmic,0.0,3.610564090195112e-05,3.32,27.01,0.967,Logarithmic,6.149282932281494,84.8135757446289,257.76568603515625,0.538961038961039,,12.34,77.1,0.973,Logarithmic
ACT10_A,66.0,-41.4667,1825.0,2010,5.07,,PKM standardized cores,,Greenland,1.0,6916,66.0479,-41.4228,170,169,9.18,84.23,0.991,Logarithmic,0.0,2.972758375108242e-05,4.47,33.29,0.969,Logarithmic,6.821574687957764,83.2672348022461,255.83538818359375,0.8816568047337278,,18.69,85.14,0.981,Logarithmic
ACT11D,66.479,-46.31,,2011,4.05,54.17,SUMUP 2024,Miège et al. (2013),greenland,0.89,8455,66.4949,-46.2676,183,131,5.09,64.49,0.959,Logarithmic,0.0,1.3926705833000597e-05,3.15,34.49,0.941,Logarithmic,6.211603164672852,58.98341751098633,254.66366577148438,0.7777777777777778,0.636699280044305,12.49,84.8,0.938,Logarithmic
NEEM2011S1,77.45,-51.06,2460.0,2011,15.77,78.18,SUMUP 2024,Sigl et al. (2013),greenland,0.98,43942,77.4159,-51.0931,403,142,16.17,72.8,0.995,Power law,0.0,5.529893314815126e-06,10.04,53.28,0.988,Logarithmic,14.267745971679688,69.91068267822266,245.2727813720703,0.6366518706404565,0.6815042210283959,45.06,,0.991,Logarithmic
EastGRIP,75.623,-35.96,2702.0,2012,17.62,64.79,SUMUP 2024,Vallelonga et al. (2014),greenland,1.0,36444,75.5947,-35.8951,360,209,16.87,69.62,0.989,Power law,0.0,3.5111802390019875e-06,11.08,56.23,0.987,Logarithmic,16.434839248657227,67.83866882324219,244.15231323242188,0.6288308740068104,0.8678808458095384,48.41,,0.99,Logarithmic
,68.892,-43.502,,2015,11.39,81.55,SUMUP 2024,Trusel et al. (2018),greenland,0.93,14632,68.8934,-43.4717,228,158,10.91,71.87,0.993,Power law,0.0,1.2590649930643847e-05,6.2,41.79,0.978,Logarithmic,9.5491361618042,70.07579803466797,251.12957763671875,0.5443371378402106,0.5124463519313305,28.6,96.54,0.985,Logarithmic
EastGRIP Main Core,75.63,-36.0,2704.0,2016,18.54,66.37,SUMUP 2024,Rasmussen et al. (2023),greenland,0.99,36791,75.6959,-36.0862,362,208,16.49,69.97,0.991,Power law,0.0,3.422474264880293e-06,10.74,56.14,0.989,Logarithmic,16.751195907592773,68.259033203125,243.68856811523438,0.5792880258899676,0.8458640952237456,48.17,,0.99,Logarithmic
Camp Century (Core B62),77.171,-61.078,1887.0,2017,12.23,,SUMUP 2024,"Colgan et al. (2018), Colgan (2021)",greenland,0.93,45551,77.1283,-61.1173,411,98,12.18,69.82,0.994,Power law,0.0,8.410831469518598e-06,7.35,47.11,0.983,Logarithmic,10.33448886871338,64.7339096069336,248.91444396972656,0.6009811937857726,,35.2,102.98,0.987,Logarithmic
