core_name,profile_key,date,region,latitude,longitude,elevation,citation,n_measurements,max_depth,max_density,depth_to_550,depth_to_830,year,source,source_doi
PARCA_6841_1998,70,1998-05-01,Greenland,68.000,-41.000,2640.000,Mosley-Thompson et al. (2001),13,11.740,557.739,11.411,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6938_1998,73,1998-05-01,Greenland,69.000,-38.000,2920.000,Mosley-Thompson et al. (2001),14,11.740,554.800,11.536,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6943_1998,74,1998-05-01,Greenland,69.200,-43.000,2500.000,Mosley-Thompson et al. (2001),21,17.268,596.400,11.607,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6945_1998,72,1998-05-01,Greenland,69.000,-45.000,2150.000,Mosley-Thompson et al. (2001),26,18.020,597.900,9.962,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7145_1998,80,1998-05-01,Greenland,71.500,-45.000,2615.000,Mosley-Thompson et al. (2001),12,11.540,552.443,11.384,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7147_1997,78,1997-05-01,Greenland,71.050,-47.230,2134.000,Mosley-Thompson et al. (2001),21,19.450,622.100,9.935,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7247_1997,81,1997-05-01,Greenland,71.926,-47.487,2277.000,Mosley-Thompson et al. (2001),18,19.588,601.700,12.301,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7249_1998,83,1998-05-01,Greenland,72.200,-49.400,2170.000,Mosley-Thompson et al. (2001),24,14.785,571.705,11.455,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7345_1998,85,1998-05-01,Greenland,73.000,-45.000,2815.000,Mosley-Thompson et al. (2001),25,14.065,555.795,13.379,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7551_1997,87,1997-05-01,Greenland,75.000,-51.000,2200.000,Mosley-Thompson et al. (2001),20,20.650,610.900,12.010,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
